# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
40	Textures\enemies-1.png	255	0	255
50	TEXTURES\title-1.png	255	255	255
60	TEXTURES\title.png	255	255	255
70	TEXTURES\intro-1.png	255	255	255
80	TEXTURES\den.png	255	255	255
90	TEXTURES\intro-2.png	255	255	255
100	TEXTURES\Endgame.png	255	255	255
101	TEXTURES\Endgame2.png	255	255	255
102	TEXTURES\Endgame31.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

#JUMPER
#right
70021	164	498	181	524	40
70022	146	498	163	524	40
70023	128	498	145	524	40
#left
70024	65	498	82	524	40
70025	81	498	98	524	40
70026	101	498	118	524	40

#DOME
#right
70031	46	440	63	458	40
70032	46	460	63	478	40
#bottom
70033	63	423	81	440	40
70034	83	423	101	440	40
#left
70035	101	460	117	478	40
70036	101	440	118	458	40
#top
70037	83	478	101	495	40
70038	63	478	81	494	40

#Intro
90501	0	0	256	234	50
90502	0	0	256	234	60

90001	809	0	1076	234	70
90002	540	0	807	234	70
90003	270	0	537	234	70
90004	0	0	267	234	70
90011	809	236	1076	470	70
90012	540	236	806	470	70
90013	270	236	536	470	70
90014	0	236	267	470	70
90021	809	473	1076	707	70
90022	540	473	806	707	70
90023	270	473	536	707	70
90024	0	473	267	707	70
90031	809	709	1076	943	70
90032	540	709	806	943	70
90033	270	709	536	943	70
90034	0	709	267	943	70
90035	0	946	267	1180	70
90036	270	946	536	1180	70
90037	540	946	806	1180	70
90038	809	946	1076	1180	70
90039	0	1182	267	1416	70
90041	809	1182	1076	1416	70
90042	540	1182	806	1416	70
90043	270	1182	536	1416	70
90044	0	1419	267	1653	70
90051	270	1419	536	1653	70
90052	540	1419	806	1653	70
90053	809	1419	1076	1653	70
90054	0	1655	267	1889	70
90061	270	1655	536	1889	70
90062	540	1655	806	1889	70
90063	809	1655	1076	1889	70
90064	0	1892	267	2126	70
90071	270	1892	536	2126	70
90072	540	1892	806	2126	70
90073	809	1892	1076	2126	70
90074	0	2128	267	2362	70

90101	0	0	256	234	90
90102	259	0	515	234	90
90201	518	0	774	234	90
90202	0	227	256	461	90
90203	259	227	515	461	90
90204	518	227	774	461	90
90205	0	454	256	688	90
